nombre,gastos,cargo,region,territorio,partido,votos,ingresos,coalicion
AMARO JESUS LABRA SEPULVEDA,26962733,DIPUTADO,13,PROVIDENCIA,PARTIDO COMUNISTA DE CHILE,0,27022733,Nueva Mayoría
CAROLA ANDREA SOLIS ARAYA,51669959,DIPUTADO,13,PROVIDENCIA,PARTIDO RADICAL SOCIALDEMOCRATA,0,51669959,Nueva Mayoría
PAMELA JILES MORENO,85060400,DIPUTADO,13,PROVIDENCIA,PARTIDO HUMANISTA,0,85060400,Frente Amplio
ANDREA XIMENA CONDEMARIN FUENTES,8857665,DIPUTADO,13,PROVIDENCIA,PARTIDO PROGRESISTA,0,8857665,Yo Marco por el Cambio
CAMILO LAGOS MIRANDA,23587141,DIPUTADO,13,PROVIDENCIA,PARTIDO PROGRESISTA,0,23587141,Yo Marco por el Cambio
SEBASTIAN LAFAURIE RIVERA,9396000,DIPUTADO,13,PROVIDENCIA,PARTIDO REGIONALISTA INDEPENDIENTE,0,9396000,Sin información
SERGIO GOMEZ CELEDON,1592417,DIPUTADO,13,PROVIDENCIA,UNION PATRIOTICA,0,1592417,Partido Unión Patriótica (sin coalición)
 SOLEDAD ALAMOS FUENZALIDA,34512135,DIPUTADO,13,PROVIDENCIA,REVOLUCION DEMOCRATICA,0,34512135,Frente Amplio
MAITE ORSINI PASCAL,42902596,DIPUTADO,13,PROVIDENCIA,REVOLUCION DEMOCRATICA,0,42902596,Frente Amplio
ALEJANDRO ZISIS DRINBERG,9152844,DIPUTADO,13,PROVIDENCIA,INDEPENDIENTE,0,23505386,Independiente
PATRICIA COCAS GONZALEZ,15899866,DIPUTADO,13,PROVIDENCIA,INDEPENDIENTE,0,15899866,Independiente
VALESKA NARANJO DAWSON,26266832,DIPUTADO,13,PROVIDENCIA,INDEPENDIENTE,0,26266832,Independiente
JULIO ISAMIT DIAZ,139626433,DIPUTADO,13,PROVIDENCIA,INDEPENDIENTE,0,139626433,Independiente
MARCELA SABAT FERNANDEZ,95014092,DIPUTADO,13,NUNOA,RENOVACION NACIONAL,0,94909877,Chile Vamos
GEORGINA MARIA VILLABLANCA MARTINEZ,9206991,DIPUTADO,13,NUNOA,PARTIDO DEMOCRATA CRISTIANO,0,9206990,Nueva Mayoría
ANA MARIA HERNANDEZ SAN MARTIN,16052948,DIPUTADO,13,NUNOA,PARTIDO DEMOCRATA CRISTIANO,0,16052948,Nueva Mayoría
TITO JAIME MONJE PINCHEIRA,14254640,DIPUTADO,13,NUNOA,PARTIDO DEMOCRATA CRISTIANO,0,14254640,Nueva Mayoría
EVA JIMENEZ URIZAR,23418831,DIPUTADO,13,NUNOA,PARTIDO DEMOCRATA CRISTIANO,0,23418831,Nueva Mayoría
CRISTHIAN MOREIRA BARROS,35014803,DIPUTADO,13,NUNOA,UNION DEMOCRATA INDEPENDIENTE,0,35014803,Chile Vamos
RENE JOFRE DELGADO,42455154,DIPUTADO,13,NUNOA,PARTIDO POR LA DEMOCRACIA,0,42455154,Nueva Mayoría
VERONICA PAULINA PINILLA MARTINEZ,59127919,DIPUTADO,13,NUNOA,PARTIDO POR LA DEMOCRACIA,0,59127919,Nueva Mayoría
VIVIENNE BACHELET NORELLI,16046889,DIPUTADO,13,NUNOA,PARTIDO SOCIALISTA DE CHILE,0,16046889,Nueva Mayoría
MAYA FERNANDEZ ALLENDE,138775658,DIPUTADO,13,NUNOA,PARTIDO SOCIALISTA DE CHILE,0,138775658,Nueva Mayoría
MARIA JOSE BECERRA MORO,43208742,DIPUTADO,13,NUNOA,PARTIDO SOCIALISTA DE CHILE,0,43208742,Nueva Mayoría
DANIEL MELO CONTRERAS,83810452,DIPUTADO,13,NUNOA,PARTIDO SOCIALISTA DE CHILE,0,83810452,Nueva Mayoría
FRANCYS FOIX FUENTEALBA,19818247,DIPUTADO,13,NUNOA,PARTIDO SOCIALISTA DE CHILE,0,19818247,Nueva Mayoría
JULIA URQUIETA OLIVARES ,29774388,DIPUTADO,13,NUNOA,PARTIDO COMUNISTA DE CHILE,0,29774388,Nueva Mayoría
ROSARIO ANDREA OLIVARES SAAVEDRA,7957230,DIPUTADO,13,NUNOA,PARTIDO ECOLOGISTA VERDE,0,7957230,Sin información
MARCELA SANDOVAL OSORIO,28170422,DIPUTADO,13,NUNOA,REVOLUCION DEMOCRATICA,0,28166932,Frente Amplio
NATALIA VALENTINA CASTILLO MUNOZ,45580749,DIPUTADO,13,NUNOA,REVOLUCION DEMOCRATICA,0,45580749,Frente Amplio
MIGUEL CRISPI SERRANO,83860341,DIPUTADO,13,NUNOA,REVOLUCION DEMOCRATICA,0,83860341,Frente Amplio
LUIS MARIANO RENDON ESCOBAR,10748644,DIPUTADO,13,NUNOA,INDEPENDIENTE,0,10748644,Independiente
ALBERTO MAYOL MIRANDA,32589028,DIPUTADO,13,NUNOA,INDEPENDIENTE,0,32589028,Independiente
CAROLINA DE LA PAZ HINOJOSA CANALES,80000,DIPUTADO,13,NUNOA,INDEPENDIENTE,0,80000,Independiente
ROSA OYARCE SUAZO,26556925,DIPUTADO,13,SAN MIGUEL,RENOVACION NACIONAL,0,26556925,Chile Vamos
EDUARDO DURAN SALINAS,64750617,DIPUTADO,13,SAN MIGUEL,RENOVACION NACIONAL,0,64750617,Chile Vamos
MACARENA DONOSO ROJAS,40579217,DIPUTADO,13,SAN MIGUEL,RENOVACION NACIONAL,0,40579217,Chile Vamos
RODOLFO SEGUEL MOLINA,31382232,DIPUTADO,13,SAN MIGUEL,PARTIDO DEMOCRATA CRISTIANO,0,31382242,Nueva Mayoría
CLAUDIO ARRIAGADA MACAYA,16146899,DIPUTADO,13,SAN MIGUEL,PARTIDO DEMOCRATA CRISTIANO,0,17060000,Nueva Mayoría
TAMARA MORA MORA,6996000,DIPUTADO,13,SAN MIGUEL,PARTIDO DEMOCRATA CRISTIANO,0,6996000,Nueva Mayoría
GUILLERMO TEILLIER DEL VALLE,93179560,DIPUTADO,13,SAN MIGUEL,PARTIDO COMUNISTA DE CHILE,0,93179560,Nueva Mayoría
JAVIERA PAZ REYES JARA,14052281,DIPUTADO,13,SAN MIGUEL,PARTIDO COMUNISTA DE CHILE,0,14052281,Nueva Mayoría
RODOLFO JAVIER CHELME BUSTOS,3130050,DIPUTADO,13,SAN MIGUEL,PARTIDO PROGRESISTA,0,3130050,Yo Marco por el Cambio
CLARA RIOS LUEIZA,2307617,DIPUTADO,13,SAN MIGUEL,UNION PATRIOTICA,0,2307617,Partido Unión Patriótica (sin coalición)
GUILLERMO ARAVENA MONDACA,2050000,DIPUTADO,13,SAN MIGUEL,UNION PATRIOTICA,0,2050000,Partido Unión Patriótica (sin coalición)
CRISTIAN BAEZA FIGUEROA,1894572,DIPUTADO,13,SAN MIGUEL,UNION PATRIOTICA,0,1894572,Partido Unión Patriótica (sin coalición)
CESAR ALEJANDRO SOLIS SANCHEZ,13609463,DIPUTADO,13,SAN MIGUEL,REVOLUCION DEMOCRATICA,0,13311963,Frente Amplio
KATHERINE MARTORELL AWAD,33538800,DIPUTADO,13,QUINTA NORMAL,RENOVACION NACIONAL,0,33538800,Chile Vamos
MARCELA CANALES HIPP,10251400,DIPUTADO,13,QUINTA NORMAL,PARTIDO DEMOCRATA CRISTIANO,0,10251400,Nueva Mayoría
KARINA DELFINO MUSSA,66554023,DIPUTADO,13,QUINTA NORMAL,PARTIDO SOCIALISTA DE CHILE,0,66554023,Nueva Mayoría
PABLO FRANCISCO GONZALEZ VERA,2174214,DIPUTADO,13,QUINTA NORMAL,INDEPENDIENTE,0,2174214,Independiente
VALESKA OYARCE PENA,2010000,DIPUTADO,13,QUINTA NORMAL,INDEPENDIENTE,0,2010000,Independiente
OLGA GONZALEZ DEL RIEGO GARCIA,28118794,DIPUTADO,13,LAS CONDES,RENOVACION NACIONAL,0,28118794,Chile Vamos
GONZALO FUENZALIDA FIGUEROA,116023751,DIPUTADO,13,LAS CONDES,RENOVACION NACIONAL,0,116012807,Chile Vamos
KARIN LUCK URBAN,35748009,DIPUTADO,13,LAS CONDES,RENOVACION NACIONAL,0,35748009,Chile Vamos
PAULINA PINEIRO UGARTE,20039512,DIPUTADO,13,LAS CONDES,PARTIDO DEMOCRATA CRISTIANO,0,20039512,Nueva Mayoría
CRISTOBAL ACEVEDO FERRER,68492187,DIPUTADO,13,LAS CONDES,PARTIDO DEMOCRATA CRISTIANO,0,68492187,Nueva Mayoría
GUILLERMO RAMIREZ DIEZ,114730118,DIPUTADO,13,LAS CONDES,UNION DEMOCRATA INDEPENDIENTE,0,114730118,Chile Vamos
JUAN CRISTOBAL LETURIA INFANTE,36231560,DIPUTADO,13,LAS CONDES,UNION DEMOCRATA INDEPENDIENTE,0,36676109,Chile Vamos
ALVARO PILLADO IRRIBARRA,46920516,DIPUTADO,13,LAS CONDES,UNION DEMOCRATA INDEPENDIENTE,0,46910808,Chile Vamos
ENRIQUE LUIS ACCORSI OPAZO,22008627,DIPUTADO,13,LAS CONDES,PARTIDO POR LA DEMOCRACIA,0,22008627,Nueva Mayoría
RAMON FARIAS PONCE,61555085,DIPUTADO,13,LAS CONDES,PARTIDO POR LA DEMOCRACIA,0,61555085,Nueva Mayoría
TOMAS HIRSCH GOLDSCHMIDT,77126767,DIPUTADO,13,LAS CONDES,PARTIDO HUMANISTA,0,77126767,Frente Amplio
VERONICA GARRIDO BELLO,8401780,DIPUTADO,13,LAS CONDES,PARTIDO EVOLUCION POLITICA,0,8401780,Chile Vamos
FRANCISCO UNDURRAGA GAZITUA,127298068,DIPUTADO,13,LAS CONDES,PARTIDO EVOLUCION POLITICA,0,127298068,Chile Vamos
CLAUDIO CANEPA BLUMENBERG,1696579,DIPUTADO,13,LAS CONDES,REVOLUCION DEMOCRATICA,0,1696579,Frente Amplio
RENATO GARIN GONZALEZ,19291946,DIPUTADO,13,LAS CONDES,REVOLUCION DEMOCRATICA,0,19291946,Frente Amplio
PABLO GALDAMES DIAZ,9585568,DIPUTADO,13,LAS CONDES,INDEPENDIENTE,0,9560000,Independiente
MANUELA ALEJANDRA VELOSO DORNER,14459573,DIPUTADO,13,LAS CONDES,INDEPENDIENTE,0,14741365,Independiente
JOAQUIN LAVIN LEON,111634593,DIPUTADO,13,MAIPU,UNION DEMOCRATA INDEPENDIENTE,0,111634593,Chile Vamos
ELIANA MELENDEZ MOLINA,1000000,DIPUTADO,13,MAIPU,PARTIDO PROGRESISTA,0,1000000,Yo Marco por el Cambio
LILIAN DEL CARMEN QUILAQUEO SOZA,1200000,DIPUTADO,13,MAIPU,PARTIDO PROGRESISTA,0,1200000,Yo Marco por el Cambio
CRISTIAN MARCELO DIAZ MUNOZ,3909100,DIPUTADO,13,MAIPU,PARTIDO PROGRESISTA,0,3909100,Yo Marco por el Cambio
DAVID BLANCO URZUA,2840527,DIPUTADO,13,MAIPU,PARTIDO PROGRESISTA,0,2840527,Yo Marco por el Cambio
CLAUDIA NATHALIE MIX JIMENEZ,43983217,DIPUTADO,13,MAIPU,PODER,0,43983217,Frente Amplio
VALDEMAR SANHUEZA YEVENES,3320154,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,3320154,Partido Unión Patriótica (sin coalición)
SILVIO RIVERA DURAN,2781119,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,2781119,Partido Unión Patriótica (sin coalición)
PAOLA MARCELLI ASTUDILLO,3515091,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,3515091,Partido Unión Patriótica (sin coalición)
MAURICIO ALVAREZ SEPULVEDA,2955156,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,2955156,Partido Unión Patriótica (sin coalición)
DENNY FLORES BUSTOS,2275217,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,2275217,Partido Unión Patriótica (sin coalición)
JUAN HERNANDEZ MARTINEZ,2046129,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,2046129,Partido Unión Patriótica (sin coalición)
VICTOR ITURRIETA RIOS,2147196,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,2147196,Partido Unión Patriótica (sin coalición)
LUCIA RIVERA HAUENSTEIN,1934455,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,1934455,Partido Unión Patriótica (sin coalición)
MACARENA PARRA PARRA,3382083,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,3382083,Partido Unión Patriótica (sin coalición)
MARIA EUGENIA PARRA TORO,622500,DIPUTADO,13,MAIPU,UNION PATRIOTICA,0,622500,Partido Unión Patriótica (sin coalición)
GREMIDIA ESTELA SAGARDIA ARIAS,4292804,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,4292804,Independiente
MARIA TERESA ALVAREZ AGUILAR,14001600,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,14001600,Independiente
RICARDO ANGEL CAMARGO BRITO,19179643,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,19178273,Independiente
MARCELA GEOVANNA CONCHA VILLANUEVA,33508864,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,33508864,Independiente
ROBERTO JULIO MARTINEZ MALDONADO,1779880,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,1779880,Independiente
ALEJANDRA MONASTERIO RIVAS,15243595,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,15243595,Independiente
EVELYN DIANA GOMEZ HIDALGO,5000000,DIPUTADO,13,MAIPU,INDEPENDIENTE,0,5000000,Independiente
LUIS ACEVEDO QUINTANILLA ,11891591,DIPUTADO,13,LA CISTERNA,PARTIDO DEMOCRATA CRISTIANO,0,11891591,Nueva Mayoría
TUCAPEL JIMENEZ FUENTES,33981706,DIPUTADO,13,LA CISTERNA,PARTIDO POR LA DEMOCRACIA,0,33981706,Nueva Mayoría
TAMARA MOYA MOYANO,6826060,DIPUTADO,13,LA CISTERNA,PARTIDO SOCIALISTA DE CHILE,0,6826060,Nueva Mayoría
IRMA EDITH PEREZ LLANQUIN,17800782,DIPUTADO,13,LA CISTERNA,PARTIDO ECOLOGISTA VERDE,0,17800782,Sin información
HUMBERTO SANHUEZA BARRIGA,14393314,DIPUTADO,13,PUDAHUEL,PARTIDO DEMOCRATA CRISTIANO,0,14393314,Nueva Mayoría
PATRICIO MELERO ABAROA,92275408,DIPUTADO,13,PUDAHUEL,UNION DEMOCRATA INDEPENDIENTE,0,92275408,Chile Vamos
GABRIELA CARRASCO TOBAR,72093260,DIPUTADO,13,PUDAHUEL,PARTIDO SOCIALISTA DE CHILE,0,72093260,Nueva Mayoría
BERTA MONTECINOS DURAN,9339100,DIPUTADO,13,PUDAHUEL,PARTIDO PROGRESISTA,0,9339100,Yo Marco por el Cambio
HUGO CIPRIANO NORAMBUENA RODRIGUEZ,2738104,DIPUTADO,13,PUDAHUEL,PARTIDO PROGRESISTA,0,2738104,Yo Marco por el Cambio
ALEXANDER ARANGUIZ MEZA,2997600,DIPUTADO,13,PUDAHUEL,PARTIDO PROGRESISTA,0,2997600,Yo Marco por el Cambio
BORIS ANTHONY BARRERA MORENO,24231122,DIPUTADO,13,RENCA,PARTIDO COMUNISTA DE CHILE,0,24231122,Nueva Mayoría
JORGE EDUARDO ROSALES VARGAS,8575669,DIPUTADO,13,RENCA,PARTIDO ECOLOGISTA VERDE,0,8575211,Sin información
KIMBERLY GREDY SEGUEL VILLAGRAN,9132015,DIPUTADO,13,RENCA,PODER,0,9132015,Frente Amplio
MIRIAM BAZAEZ GUERRA,25267500,DIPUTADO,13,QUILICURA,PARTIDO POR LA DEMOCRACIA,0,25267500,Nueva Mayoría
PAZ SUAREZ BRIONES,4504000,DIPUTADO,13,QUILICURA,PARTIDO POR LA DEMOCRACIA,0,4504000,Nueva Mayoría
JOVINESSA MUJICA MARTINEZ,0,DIPUTADO,13,QUILICURA,PARTIDO HUMANISTA,0,0,Frente Amplio
RICARDO IVAN MALDONADO OLIVARES,12837500,DIPUTADO,13,QUILICURA,PARTIDO HUMANISTA,0,12837500,Frente Amplio
ANA MARIA MOLINA VILLARREAL,3578638,DIPUTADO,13,QUILICURA,UNION PATRIOTICA,0,3578638,Partido Unión Patriótica (sin coalición)
MICHAEL GABRIEL GUERRA MUNOZ,1585678,DIPUTADO,13,QUILICURA,INDEPENDIENTE,0,1585678,Independiente
LIZET DE LOS ANGELES BRIONES PEREZ,5266677,DIPUTADO,13,QUILICURA,INDEPENDIENTE,0,5266677,Independiente
CRISTIAN BOWEN GARFIAS,66815087,DIPUTADO,13,CONCHALI,PARTIDO DEMOCRATA CRISTIANO,0,66815087,Nueva Mayoría
ALAN FANCELLI ESMAR,1974800,DIPUTADO,13,CONCHALI,PARTIDO PROGRESISTA,0,1974800,Yo Marco por el Cambio
DIEGO WLADIMIR VILLAS MONTECINOS,6279150,DIPUTADO,13,CONCHALI,PARTIDO IGUALDAD,0,6279150,Frente Amplio
ERICK MARCO ANTONIO CONOMAN GARAY,18221252,DIPUTADO,13,CONCHALI,PODER,0,18221252,Frente Amplio
KARLA JANA VALENZUELA,5585458,DIPUTADO,13,LA FLORIDA,UNION DEMOCRATA INDEPENDIENTE,0,5585458,Chile Vamos
CAMILA VALLEJO DOWLING,84295127,DIPUTADO,13,LA FLORIDA,PARTIDO COMUNISTA DE CHILE,0,83515699,Nueva Mayoría
VALENTINA OLIVARES GRAY,10784246,DIPUTADO,13,LA FLORIDA,PARTIDO HUMANISTA,0,9967050,Frente Amplio
GLADYS LORENA PALMA VALLEJOS,6122274,DIPUTADO,13,LA FLORIDA,PARTIDO PROGRESISTA,0,6122274,Yo Marco por el Cambio
CLAUDIO ENRIQUE HERRERA SAN MARTIN,0,DIPUTADO,13,LA FLORIDA,PARTIDO PROGRESISTA,0,0,Yo Marco por el Cambio
SUSANA HERNANDEZ COLLAO,8482666,DIPUTADO,13,LA FLORIDA,PARTIDO IGUALDAD,0,8482666,Frente Amplio
CARLA ANDREA BOSSELIN ZUNIGA,1630900,DIPUTADO,13,LA FLORIDA,PARTIDO IGUALDAD,0,1630900,Frente Amplio
KARINA OLIVA PEREZ,25234109,DIPUTADO,13,LA FLORIDA,PODER,0,25234109,Frente Amplio
EDUARDO GUTIERREZ GONZALEZ,3641325,DIPUTADO,13,LA FLORIDA,UNION PATRIOTICA,0,3641325,Partido Unión Patriótica (sin coalición)
GLORIA ANGELICA GALLARDO VOSS,2619601,DIPUTADO,13,LA FLORIDA,UNION PATRIOTICA,0,2619601,Partido Unión Patriótica (sin coalición)
PATRICIO ALTAMIRANO ARANCIBIA,1840074,DIPUTADO,13,LA FLORIDA,UNION PATRIOTICA,0,1840074,Partido Unión Patriótica (sin coalición)
VALERIA BEATRIZ FANNY ARANCIBIA LUCO,187425,DIPUTADO,13,LA FLORIDA,PARTIDO CIUDADANOS,0,187425,Sumemos
MARCIA SOTO DIAZ,138104,DIPUTADO,13,LA FLORIDA,INDEPENDIENTE,0,138104,Independiente
ALVARO CARTER FERNANDEZ,54582678,DIPUTADO,13,LA FLORIDA,INDEPENDIENTE,0,54582678,Independiente
LILIAN TAMARA UNDA ESCALONA,895491,DIPUTADO,13,LA FLORIDA,INDEPENDIENTE,0,895491,Independiente
ANDREA STELLA SALAZAR NAVIA,15599035,DIPUTADO,13,LA FLORIDA,INDEPENDIENTE,0,15599035,Independiente
PABLINA MELLA DIAZ,1300000,DIPUTADO,13,LA FLORIDA,INDEPENDIENTE,0,1300000,Independiente
MICHELLE ZUNINO PALACIOS,15138137,DIPUTADO,13,LA FLORIDA,INDEPENDIENTE,0,15138137,Independiente
CLAUDIA LANGE FARIAS,21747474,DIPUTADO,13,LA GRANJA,UNION DEMOCRATA INDEPENDIENTE,0,21747474,Chile Vamos
ANGELICA CORNEJO ZUNIGA,2494961,DIPUTADO,13,LA GRANJA,UNION PATRIOTICA,0,2494961,Partido Unión Patriótica (sin coalición)
CARLA GONZALEZ MORALES,1873840,DIPUTADO,13,LA GRANJA,UNION PATRIOTICA,0,1873840,Partido Unión Patriótica (sin coalición)
PATRICIA ELENA VALENZUELA SANDOVAL,138104,DIPUTADO,13,LA GRANJA,INDEPENDIENTE,0,138104,Independiente
JUAN CARLOS SANTIBANEZ NORAMBUENA,647050,DIPUTADO,13,LA GRANJA,INDEPENDIENTE,0,647050,Independiente
CECILIA GONZALEZ HANSEN,6684640,DIPUTADO,13,LA REINA,PARTIDO DEMOCRATA CRISTIANO,0,6684640,Nueva Mayoría
CATALINA VALENZUELA MAUREIRA,0,DIPUTADO,13,LA REINA,PARTIDO HUMANISTA,0,0,Frente Amplio
NICOLAS MENARE MORALES,2878406,DIPUTADO,13,LA REINA,PARTIDO PROGRESISTA,0,2878406,Yo Marco por el Cambio
FERNANDO ENCINA WAISSBLUTH,2010000,DIPUTADO,13,LA REINA,INDEPENDIENTE,0,2010000,Independiente
JOSE ANTONIO HENRIQUEZ MUNIZ,4404793,DIPUTADO,13,MACUL,PARTIDO PROGRESISTA,0,4404793,Yo Marco por el Cambio
LUISA PARRA CASTRO,2334435,DIPUTADO,13,MACUL,UNION PATRIOTICA,0,2334435,Partido Unión Patriótica (sin coalición)
PABLO PRADO PULIDO,1969432,DIPUTADO,13,MACUL,UNION PATRIOTICA,0,1969432,Partido Unión Patriótica (sin coalición)
DANIEL ARTURO ALEJANDRO MUNOZ ZUNIGA,2291427,DIPUTADO,13,MACUL,UNION PATRIOTICA,0,2291427,Partido Unión Patriótica (sin coalición)
MARIBEL MARTINEZ LOPEZ,2200000,DIPUTADO,13,MACUL,INDEPENDIENTE,0,2200000,Independiente
DAUNO TOTORO NAVARRO,10815979,DIPUTADO,13,MACUL,INDEPENDIENTE,0,10759609,Independiente
PERLA SEGUEL TORRES,12397934,DIPUTADO,13,PENALOLEN,RENOVACION NACIONAL,0,12397934,Chile Vamos
JULIO MADRID FUENTES,30189098,DIPUTADO,13,PENALOLEN,PARTIDO DEMOCRATA CRISTIANO,0,30189098,Nueva Mayoría
BARBARA SOTO SILVA,49371878,DIPUTADO,13,PENALOLEN,UNION DEMOCRATA INDEPENDIENTE,0,49371878,Chile Vamos
NATALIA GARRIDO TORO,10971550,DIPUTADO,13,PENALOLEN,PARTIDO IGUALDAD,0,10971550,Frente Amplio
MIGUEL ANGEL RENDON ESCOBAR,1581735,DIPUTADO,13,PENALOLEN,INDEPENDIENTE,0,1581735,Independiente
MARCELA YANEZ BRAVO,1379450,DIPUTADO,13,PENALOLEN,INDEPENDIENTE,0,1379450,Independiente
ANDRES SANTANDER ORTEGA ,99476941,DIPUTADO,13,SAN RAMON,PARTIDO SOCIALISTA DE CHILE,0,99476941,Nueva Mayoría
GASPAR ORTIZ CARDENAS,2912267,DIPUTADO,13,SAN RAMON,UNION PATRIOTICA,0,2912267,Partido Unión Patriótica (sin coalición)
IVAN FUENTES CASTILLO,27394781,DIPUTADO,13,LA PINTANA,PARTIDO DEMOCRATA CRISTIANO,0,27394781,Nueva Mayoría
JOSE ANSELMO HIDALGO ZAMORA,6297750,DIPUTADO,13,LA PINTANA,INDEPENDIENTE,0,6297750,Independiente
MELISSA VARAS MONTERO,3522652,DIPUTADO,13,LO PRADO,PARTIDO POR LA DEMOCRACIA,0,3522652,Nueva Mayoría
CATALINA VIDAL MENDEZ,5068253,DIPUTADO,13,LO PRADO,PARTIDO HUMANISTA,0,5068253,Frente Amplio
JORGE DURAN ESPINOZA,40466528,DIPUTADO,13,CERRO NAVIA,RENOVACION NACIONAL,0,40465070,Chile Vamos
RODRIGO ALBORNOZ POLLMANN,45058044,DIPUTADO,13,CERRO NAVIA,PARTIDO DEMOCRATA CRISTIANO,0,45058044,Nueva Mayoría
CRISTINA GIRARDI LAVIN,63774926,DIPUTADO,13,CERRO NAVIA,PARTIDO POR LA DEMOCRACIA,0,63774926,Nueva Mayoría
SANDRA URIBE FLORES,1000000,DIPUTADO,13,CERRO NAVIA,INDEPENDIENTE,0,1000000,Independiente
EDDY ROLDAN CABRERA,32952716,DIPUTADO,13,CERRO NAVIA,INDEPENDIENTE,0,32952716,Independiente
CECILIA VALDES LEON,27860841,DIPUTADO,13,ESTACION CENTRAL,PARTIDO DEMOCRATA CRISTIANO,0,27860841,Nueva Mayoría
LORENA PIZARRO SIERRA,74893737,DIPUTADO,13,ESTACION CENTRAL,PARTIDO COMUNISTA DE CHILE,0,74893737,Nueva Mayoría
MANUEL ENRIQUE MUNOZ PALACIOS,2372460,DIPUTADO,13,ESTACION CENTRAL,PARTIDO PROGRESISTA,0,2372460,Yo Marco por el Cambio
MAURICIO SANTANDER VIDELA,1025368,DIPUTADO,13,ESTACION CENTRAL,PARTIDO PROGRESISTA,0,1025368,Yo Marco por el Cambio
PABLO VIDAL ROJAS,59177796,DIPUTADO,13,ESTACION CENTRAL,REVOLUCION DEMOCRATICA,0,59177796,Frente Amplio
DORIS DAYANNA GONZALEZ LEMUNAO,13306000,DIPUTADO,13,ESTACION CENTRAL,INDEPENDIENTE,0,13306000,Independiente
MIJAIL BONITO LOVIO,34381883,DIPUTADO,13,HUECHURABA,PARTIDO EVOLUCION POLITICA,0,34384375,Chile Vamos
GUIDO ENRIQUE GONZALEZ VALENZUELA,3285724,DIPUTADO,13,HUECHURABA,UNION PATRIOTICA,0,3285724,Partido Unión Patriótica (sin coalición)
JAIME FUENTEALBA MALDONADO,20595501,DIPUTADO,13,RECOLETA,PARTIDO SOCIALISTA DE CHILE,0,20595501,Nueva Mayoría
KAROL CARIOLA OLIVA,107239004,DIPUTADO,13,RECOLETA,PARTIDO COMUNISTA DE CHILE,0,107239004,Nueva Mayoría
ALEJANDRA NAVARRETE CARRASCO,4292804,DIPUTADO,13,RECOLETA,PARTIDO PROGRESISTA,0,4292804,Yo Marco por el Cambio
ANA MARIA ARIAS AGURTO,2653510,DIPUTADO,13,RECOLETA,UNION PATRIOTICA,0,2653510,Partido Unión Patriótica (sin coalición)
GIORGIO JACKSON DRAGO,115760995,DIPUTADO,13,RECOLETA,REVOLUCION DEMOCRATICA,0,115760995,Frente Amplio
ERIKA OLIVERA DE LA FUENTE,73566273,DIPUTADO,13,RECOLETA,INDEPENDIENTE,0,73566273,Independiente
SEBASTIAN TORREALBA ALVARADO,50664567,DIPUTADO,13,VITACURA,RENOVACION NACIONAL,0,50486894,Chile Vamos
NELSON HADAD HERESY,44850063,DIPUTADO,13,VITACURA,PARTIDO DEMOCRATA CRISTIANO,0,44850063,Nueva Mayoría
PAULA ZUNIGA CALDERON,70934453,DIPUTADO,13,VITACURA,PARTIDO DEMOCRATA CRISTIANO,0,70934453,Nueva Mayoría
PABLO TERRAZAS LAGOS,146163706,DIPUTADO,13,VITACURA,UNION DEMOCRATA INDEPENDIENTE,0,146128247,Chile Vamos
ISABEL MARGARITA LABBE MARTINEZ,4420683,DIPUTADO,13,VITACURA,UNION DEMOCRATA INDEPENDIENTE,0,4420683,Chile Vamos
LORETO SEGUEL KING,80566747,DIPUTADO,13,VITACURA,INDEPENDIENTE,0,80566747,Independiente
MAURICIO JAVIER ABU-GHOSH PARHAM,17064390,DIPUTADO,13,VITACURA,INDEPENDIENTE,0,17064390,Independiente
XIMENA OSSANDON IRARRAZABAL,72085216,DIPUTADO,13,LO BARNECHEA,RENOVACION NACIONAL,0,72085216,Chile Vamos
CATALINA DEL REAL MIHOVILOVIC,107445138,DIPUTADO,13,LO BARNECHEA,RENOVACION NACIONAL,0,107445138,Chile Vamos
RAUL FLORCITA ALARCON ROJAS,7183778,DIPUTADO,13,LO BARNECHEA,PARTIDO HUMANISTA,0,7183778,Frente Amplio
CAMILA IANISZEWSKI CONTRERAS,9173072,DIPUTADO,13,LO BARNECHEA,PARTIDO IGUALDAD,0,9173072,Frente Amplio
JORGE ARAVENA EGANA,2319243,DIPUTADO,13,SAN JOAQUIN,UNION PATRIOTICA,0,2319243,Partido Unión Patriótica (sin coalición)
